#Coverage	numBases
0	21
1	29
2	31
3	31
4	0
5	4
6	10
7	2
8	2
9	2
10	3
11	0
12	7
13	14
14	4
15	19
16	7
17	3
18	0
19	7
20	0
21	5
22	5
23	4
24	7
25	0
26	0
27	0
28	15
29	0
30	7
31	1
32	4
33	7
34	1
35	0
36	8
37	5
38	8
39	9
40	0
41	0
42	12
43	2
44	0
45	11
46	8
47	11
48	12
49	7
50	7
51	1
52	7
53	2
54	0
55	5
56	2
57	0
58	1
59	1
60	0
61	1
62	5
63	5
64	2
65	0
66	2
67	1
68	0
69	0
70	0
71	5
72	2
73	1
74	4
75	3
76	3
77	0
78	6
79	6
80	4
81	2
82	7
83	3
84	4
85	5
86	5
87	3
88	0
89	4
90	0
91	1
92	3
93	9
94	0
95	0
96	0
97	2
98	3
99	0
100	2
101	2
102	4
103	3
104	1
105	5
106	10
107	2
108	7
109	2
110	2
111	4
112	4
113	0
114	4
115	6
116	8
117	4
118	1
119	2
120	1
121	5
122	0
123	3
124	0
125	9
126	1
127	1
128	3
129	1
130	8
131	6
132	12
133	8
134	9
135	1
136	2
137	2
138	3
139	5
140	4
141	0
142	3
143	2
144	1
145	2
146	1
147	0
148	2
149	1
150	2
151	0
152	6
153	4
154	0
155	1
156	1
157	4
158	2
159	2
160	3
161	3
162	3
163	5
164	0
165	1
166	2
167	0
168	5
169	4
170	0
171	2
172	0
173	6
174	1
175	0
176	0
177	6
178	0
179	7
180	3
181	2
182	4
183	9
184	6
185	1
186	2
187	8
188	1
189	0
190	0
191	1
192	4
193	3
194	8
195	8
196	5
197	3
198	0
199	1
200	3
201	0
202	0
203	0
204	0
205	0
206	0
207	5
208	0
209	1
210	1
211	6
212	4
213	4
214	11
215	5
216	4
217	3
218	2
219	0
220	1
221	0
222	3
223	3
224	3
225	0
226	0
227	3
228	1
229	0
230	1
231	2
232	4
233	2
234	0
235	7
236	2
237	0
238	10
239	5
240	4
241	0
242	4
243	1
244	13
245	5
246	14
247	6
248	25
249	14
250	16
251	11
252	9
253	20
254	6
255	6
256	6
257	16
258	5
259	8
260	2
261	5
262	13
263	6
264	4
265	5
266	8
267	7
268	8
269	1
270	5
271	3
272	8
273	5
274	6
275	4
276	4
277	4
278	5
279	6
280	4
281	5
282	3
283	2
284	2
285	2
286	4
287	1
288	1
289	1
290	0
291	0
292	0
293	0
294	2
295	2
296	8
297	1
298	1
299	5
300	4
301	3
302	5
303	5
304	5
305	14
306	4
307	7
308	4
309	5
310	5
311	2
312	3
313	5
314	8
315	15
316	16
317	4
318	13
319	19
320	9
321	17
322	20
323	6
324	7
325	6
326	6
327	6
328	11
329	14
330	2
331	5
332	4
333	7
334	10
335	1
336	8
337	9
338	7
339	4
340	13
341	6
342	1
343	6
344	4
345	6
346	10
347	14
348	13
349	17
350	22
351	11
352	13
353	14
354	6
355	12
356	9
357	11
358	9
359	18
360	14
361	10
362	4
363	5
364	14
365	16
366	8
367	7
368	4
369	5
370	5
371	4
372	3
373	7
374	12
375	5
376	6
377	6
378	4
379	7
380	7
381	7
382	13
383	10
384	6
385	8
386	14
387	23
388	10
389	11
390	9
391	10
392	10
393	11
394	12
395	10
396	11
397	16
398	19
399	10
400	7
401	7
402	6
403	6
404	12
405	9
406	7
407	2
408	13
409	3
410	9
411	2
412	7
413	6
414	10
415	9
416	3
417	1
418	1
419	0
420	2
421	2
422	0
423	3
424	0
425	0
426	2
427	2
428	1
429	1
430	2
431	1
432	1
433	3
434	2
435	3
436	5
437	5
438	6
439	8
440	3
